Date,Open,High,Low,Close,Adj Close,Volume
2011-11-30,78.029999,78.860001,77.730003,78.150002,56.880238,2998500
2011-12-01,78.139999,79.489998,78.110001,78.980003,57.484341,1896800
2011-12-02,79.550003,79.800003,77.230003,77.820000,56.640064,2421700
2011-12-05,78.559998,78.660004,77.599998,78.110001,56.851147,2524900
2011-12-06,77.800003,78.489998,77.620003,77.910004,56.705574,1498300
2011-12-07,77.940002,78.050003,77.370003,77.570000,56.458099,2092300
2011-12-08,77.470001,77.650002,76.419998,76.519997,55.693878,1797200
2011-12-09,77.050003,77.699997,77.019997,77.419998,56.348911,1239700
2011-12-12,77.440002,77.470001,76.400002,76.889999,55.963184,1450200
2011-12-13,77.379997,77.769997,76.459999,76.730003,55.846737,1642200
2011-12-14,76.720001,76.870003,76.019997,76.290001,55.526485,1439800
2011-12-15,77.070000,77.519997,76.760002,76.919998,55.985001,1972300
2011-12-16,77.620003,77.879997,76.320000,77.099998,56.116005,4215600
2011-12-19,77.279999,77.690002,76.599998,76.820000,55.912235,1393200
2011-12-20,77.940002,78.870003,77.830002,78.529999,57.156822,1749900
2011-12-21,78.449997,79.690002,78.019997,79.629997,57.957451,1820700
2011-12-22,79.820000,81.029999,79.629997,80.809998,58.816296,2793300
2011-12-23,81.000000,81.459999,80.669998,81.410004,59.252998,1927500
2011-12-27,81.330002,81.660004,80.940002,81.320000,59.187492,1483200
2011-12-28,81.680000,81.779999,80.849998,80.940002,58.910896,840400
2011-12-29,80.959999,81.739998,80.879997,81.519997,59.333042,1123700
2011-12-30,81.650002,81.860001,80.860001,80.900002,58.881805,1474700
2012-01-03,82.120003,82.989998,81.769997,82.019997,59.696957,2273600
2012-01-04,80.949997,81.449997,80.370003,80.910004,58.889069,2242700
2012-01-05,80.660004,80.680000,79.050003,80.070000,58.277676,2616100
2012-01-06,80.410004,80.410004,79.650002,79.980003,58.212177,4274300
2012-01-09,80.349998,80.349998,79.760002,80.040001,58.255856,1861500
2012-01-10,80.629997,81.199997,80.360001,80.620003,58.677986,1846700
2012-01-11,80.489998,81.129997,80.489998,80.779999,58.794449,1245900
2012-01-12,81.120003,81.769997,80.760002,81.690002,59.456791,1822300
2012-01-13,81.160004,81.529999,80.800003,81.519997,59.333042,1475600
2012-01-17,82.050003,82.099998,81.349998,81.639999,59.420395,1953700
2012-01-18,81.589996,82.279999,81.339996,82.279999,59.886223,1155900
2012-01-19,82.250000,83.709999,81.849998,83.709999,60.926987,1959400
2012-01-20,83.150002,83.440002,82.540001,82.779999,60.250126,2461700
2012-01-23,82.830002,82.860001,81.900002,82.540001,60.075439,1716700
2012-01-24,82.550003,82.809998,82.120003,82.239998,59.857086,1139000
2012-01-25,82.040001,82.269997,81.250000,81.730003,59.485905,2421500
2012-01-26,82.470001,82.949997,81.290001,82.470001,60.024506,2733700
2012-01-27,82.000000,82.550003,81.660004,82.019997,59.696957,1952500
2012-01-30,81.320000,82.129997,81.290001,82.010002,59.689686,3109900
2012-01-31,82.199997,82.400002,81.699997,82.320000,59.915306,2878600
2012-02-01,82.540001,83.720001,82.260002,83.519997,60.788715,2114100
2012-02-02,83.559998,83.699997,82.900002,83.169998,60.533997,1298800
2012-02-03,83.410004,84.730003,83.250000,84.589996,61.567509,3366800
2012-02-06,84.379997,85.400002,84.339996,85.250000,62.047886,2028300
2012-02-07,85.000000,86.639999,85.000000,86.629997,63.052299,2871300
2012-02-08,86.570000,87.709999,86.139999,87.639999,63.787399,3394000
2012-02-09,87.660004,88.070000,87.400002,88.010002,64.056702,2865000
2012-02-10,87.129997,87.720001,87.000000,87.510002,63.692772,1928200
2012-02-13,87.639999,88.250000,86.980003,88.230003,64.216820,2583400
2012-02-14,87.730003,88.550003,87.660004,88.449997,64.376930,1676700
2012-02-15,87.680000,87.919998,86.769997,86.930000,63.270649,3474000
2012-02-16,86.849998,87.209999,86.059998,86.400002,62.884880,2298500
2012-02-17,86.720001,88.309998,86.620003,87.989998,64.042122,2734000
2012-02-21,87.860001,87.900002,86.790001,87.150002,63.430752,1738700
2012-02-22,87.339996,88.089996,87.260002,87.620003,63.772835,1241400
2012-02-23,87.809998,88.389999,87.570000,88.290001,64.260468,7431200
2012-02-24,88.480003,90.150002,88.400002,89.529999,65.163010,7279200
2012-02-27,89.519997,90.000000,89.080002,89.410004,65.075661,2905000
2012-02-28,88.849998,88.860001,88.000000,88.699997,65.289124,1866000
2012-02-29,88.879997,89.309998,88.389999,88.410004,65.075668,2832200
2012-03-01,88.610001,88.970001,88.139999,88.370003,65.046219,1608300
2012-03-02,88.400002,89.050003,88.300003,88.500000,65.141907,1334200
2012-03-05,89.019997,89.080002,88.559998,88.680000,65.274384,1458500
2012-03-06,87.980003,88.839996,87.680000,87.779999,64.611954,1442200
2012-03-07,87.809998,88.070000,87.410004,87.959999,64.744438,1280500
2012-03-08,88.570000,89.000000,88.260002,88.379997,65.053596,1159400
2012-03-09,88.820000,89.120003,88.220001,88.910004,65.443695,1177800
2012-03-12,88.709999,89.290001,88.620003,89.000000,65.509956,1113600
2012-03-13,89.379997,89.709999,88.800003,89.650002,65.988365,1626500
2012-03-14,89.860001,91.010002,89.779999,90.419998,66.555153,2039300
2012-03-15,90.400002,90.680000,89.930000,90.300003,66.466843,1382000
2012-03-16,90.300003,90.500000,89.250000,89.320000,65.745491,2116300
2012-03-19,88.919998,89.690002,88.889999,89.559998,65.922150,900000
